,sentiment,content,polarity
8063,love,Every time I hear someone from Vancouver it makes me follow them Im hopelessly in love with vancouver,positive
8064,worry,iamdiddy my hubby  promised job promotion so we didnt move signed a new lease n they withdrew the promotion,negative
8065,sadness,APStylebook I know but I need some things in my life to be constant,negative
8066,sadness,Is youtube not working properly for anyone else I cant watch videos because they keep failing to load,negative
8067,happiness,starangel82 darkheath 140lover Everyones going to think Im a gold digger  Hahahaha,positive
8068,worry,iamdiddy  My dog Nemo cause he wimpers every morning when I leave,negative
8069,worry,_Enigma__ did you even listen to the blip i sent you,negative
8070,neutral,I hate having headrush,neutral
8071,sadness,no luck in goin to forum im about the only person on earth not goin out,negative
8072,sadness,Starving And Alyssas mom would bring her subway,negative
8073,enthusiasm,I really wish someone would make a groupchat theme for Adium suited for IRC yMous has way too low contrast,positive
8074,happiness,At the doctors office woooo so much fun Have to go back to wotk after this cant afford to be off,positive
8075,worry,Saw a black snake in the garden  Went back for a picture and it was gone,negative
8076,sadness,has new headphones but no mp3 player yet  httpplurkcompx258n,negative
8077,neutral,causticsoda it was fine i was still up playing inFamous sorry to hear how things ended up again,neutral
8078,worry,Having trouble syncing my iphone to my work exchange email  help,negative
8079,hate,Hanging out at the San Fran airport Got a few hour wait until I go anywhereBTW SFOs 7 wifi is garbage,negative
8080,sadness,risquethaianna i cant go swimmin any more,negative
8081,empty,_Cheshire_Cat_,neutral
8082,neutral,anisalovesu it was apparently a request by the guests,neutral
8083,enthusiasm,workin at la bootay wheres the warm weather at,positive
8084,love,rip grandpa  graduation today,positive
8085,worry,Sunburn on my knees,negative
8086,worry,AFMikey413 that sigh doesnt sound happy,negative
8087,worry,is sadly going to have to cancel my Chicago trip next week,negative
8088,worry,In the mood for shrimp scampi but I dont have vermouth,negative
8089,worry,Today is not going to be relaxing like I hoped,negative
8090,neutral,JonasBrothersOx ummnope not anymoree,neutral
8091,sadness,tommcfly sweet  Englands becoming lamer and lamer since you guys left,negative
8092,worry,in media still havnet found ipod,negative
8093,worry,They just layed off 23 teachers in the city near me  I wonder if I should be thinking about not going into that jobfield,negative
8094,sadness,i got a haircut i felt like that guy on the quotLast Samuriquot who was forced to have his ponytail cut off,negative
8095,hate,On my way 2 work damn sinus headaches suck,negative
8096,love,I ate to much lunchnow I dont want to work,positive
8097,neutral,Jengo_ i wanna go to the pub,neutral
8098,sadness,GLAMvoy Yes I think so unless it changed  I sent u a happy mothers day text but u never responded back,negative
8099,hate,Got tired of the kitchen being uninhabital so swept and mopped the floor when its dry Ill do the work tops,negative
8100,sadness,emaxio still  the courthouse     Happy to have a job sad its this one,negative
8101,sadness,tearose21 Wish I could be there to enjoy a girls day,negative
8102,worry,httptwitpiccom66ydb  jenleighbarry I made sure you got credit at the end of the bookIm sure I forgot people though,negative
8103,neutral,where is HoodieCouture ,neutral
8104,worry,on the phone with Arvest the girl on the phone is breathing into the mic on the phone not sound as good as Darth Vader,negative
8105,sadness,And its gone,negative
8106,sadness,Im here at work super bored,negative
8107,neutral,JUST GOT BACK 4RM A LONG WORKOUT AT DA GYM  ,neutral
8108,sadness,to cold for the beach  sucky,negative
8109,empty,deardrahpee dont know  and no not at all,neutral
8110,sadness,Berumen4 No  Just sitting around sculpting tiny koi,negative
8111,worry,I never order chips any more due to how unhealthy they are but getting a burrito from Chipotle or Qdoba doesnt feel right without em,negative
8112,worry,i totally need to go to the doctor for my armthis bitch is STILL hurtin like hell      i shall return,negative
8113,neutral,just slammed my finger in a car dor  FML ow,neutral
8114,neutral,Hmph I had to order some bootleg Pharos GPS phone they dont have the BB I wanted at Office Depot,neutral
8115,happiness,out enjoying the weather before i have to go to work last shift with jamieallover,positive
8116,neutral,awesome i just ruined all my white clothes i never remember to separate,neutral
8117,sadness,Ok i feel like i need to cry now  i cant believe that in less than 2 years ill be walking across the stage to get a High School diploma,negative
8118,empty,Pizs last lunch in bdubb,neutral
8119,sadness,Jonasbrothers Just saw the webc awesome i loved all the songs im sad cuz i couldnt be there  had 2 wake up early and it started at 1am,negative
8120,sadness,So now well pay more in sales taxgreat  Even worse Mom and Pop businesses have to double what they pay in business licenses,negative
8121,happiness,Had quite a cool day with Charlie and then Ben aswell  got lost and stung by nettles,positive
8122,sadness,is stressin hcore and is supposed to be cleaning her room and feels like crap,negative
8123,happiness,HannahSukter anywayss to the point i am dying to spend my summer over there or somewhere hot with you guys,positive
8124,worry,feel like shitand will continue to for as long as it takes,negative
8125,surprise,Cant believe im spending my lunch break inside  my desk,positive
8126,neutral,finishing one shift in 37 mins drive half an hour and start all over again till 1amand back in  11am tomorrow  and its sunny,neutral
8127,worry,is suffering from hayfever is drowsy from too much Piriton and is heading to bed with the air purifier on,negative
8128,sadness,back from lunch and its pouring rain ugh  ohh well at least it gets me into a Death Cab For Cutie mood,negative
8129,sadness,Mad_Gab  We should bask in misery together,negative
8130,worry,Sirvashawn let me know how it goes Im praying Ummmph I still cant believe it,negative
8131,fun,ok finished all the Mikados  Should shut up now lol,positive
8132,worry,travisroberts What would you know about packing Youre making poor Lauren do it all,negative
8133,enthusiasm,Sushi joint was closed  but still had a nice lunch w Angel,positive
8134,neutral,kirbywhitehead haha I remember that That trip was fun I Miss miss miss miss miss chu,neutral
8135,neutral,chathuraw         ,neutral
8136,neutral,wish i was 17 again,neutral
8137,neutral,says from now it will be impossible to Plurk from work  system administrators closed the access in the firew httpplurkcompx25jw,neutral
8138,fun,blues_traveler I want the Tix  Oh right  Im know where near Vacaville Ca,positive
8139,sadness,i feel super sick,negative
8140,sadness,httpwavegooglecom lt3 Google  wish theyd spend a bit more time adding bits to Chrome though,negative
8141,happiness,rayrayyyyy quotnow or neverquot makes me cry everytime  lol,positive
8142,worry,going to a funeral,negative
8143,worry,Worried sick now about my granddaughter Shes at Hasbro possibly needing to have her shunt revised which means another surgery,negative
8144,worry,djjezzie  how very rude fof them you poor girl i hope you recovered from that  awful site,negative
8145,neutral,Twitter is slow,neutral
8146,fun,siamusic  as long as you have someone to make out with    lol,positive
8147,sadness,my head is bruised really bad ,negative
8148,empty,finished the noodles done the dishwasher really really warm i dont like it,neutral
8149,worry,Ruby Luster cant make it to NYC for our performance,negative
8150,sadness,I hate it when I am in pain,negative
8151,love,i have an ipod nano i never usetut for the love of all things Apple,positive
8152,worry,My last day with my favorite teacherim quite sad,negative
8153,neutral,Just updated Tweetie and open in browser is still broken,neutral
8154,neutral,rawrrxsteffie yeah quite a few kids in my school got swine flu they only close down the school if its 30 kids or more,neutral
8155,sadness,Im trying to find a pic for twitter but all that  ihave are too big or cant upload So I shall remain faceless  lol,negative
8156,worry,httptwitpiccom66yb9 Ozzy back from the vet Not feeling well He looks so sad    Possible UTI Results tomorrow,negative
8157,sadness,crystaaale wtf kinda best friend am I I still havent met the hubby That depresses me,negative
8158,sadness,Room is so empty,negative
8159,hate,Sitting in Mrs Martins class youtube is being stupid and i REALLY want a popsicle jealous of Sara,negative
8160,worry,zoita had a cardio apt 2day doc says her holeintheheart hasnt closed shell need the surgery to close it httpghurmtumblrcom,negative
8161,worry,LucyMeez   I tried that pincode and it says it is expired you only just put it up,negative
8162,neutral,inlovewitharmy i knoooooooooooow,neutral
8163,worry,Rough start to my day  Taking this one off from DON so as not to spread my bad vibes Hope you all have a great weekend Im outty,negative
8164,sadness,lilmo4ever Im So Mad I Wont Be There UGHHH,negative
8165,worry,is hungry but cant leave for lunch,negative
8166,sadness,Man my sinuses r really buggin me this morning,negative
8167,sadness,Had an interesting evening amongst homeless people in Venice Beach last night wishing I had my camera with me and model releases,negative
8168,neutral,kinda has a headache,neutral
8169,neutral,pool is still closed  and it is cloudy what should i cook tonight,neutral
8170,neutral,My trip to Igbaras will be postponed to next week,neutral
8171,neutral,Is concerned about pixiefish,neutral
8172,hate,Mezzie1221 you are a slow answerer,negative
8173,neutral,nikkijean wish i coulda been there,neutral
8174,hate,cre8tn You and your Yuotube links  DENIED at work,negative
8175,worry,Have  Irma Vep rehearsals Nonot really,negative
8176,surprise,Why doesnt McDonalds make PINEAPPLE pies,positive
8177,worry,Ouch Stomachace I ate a lot,negative
8178,sadness,This is California it has to be sunny But its not  makes me kinda sad,negative
8179,worry,Gah I think I like Wes Carr Thats wrong Nothing good has come out of Australian Idol but his You song is catchy as fuck,negative
8180,worry,bruceswalker   Hi Bruce  I am trying to eat healthy  Its kinda scary when I read quotEat this Not thatquot  maggots and rat hair in our food,negative
8181,worry,heffasaurus  anything I can do to help,negative
8182,worry,i cant sleep  amp,negative
8183,empty,Im still waiting for the Oprah touch,neutral
8184,happiness,httptwitpiccom66ymw Im gonna miss these guys so much  Thanks for making the 5 years at senior school amazing,positive
8185,happiness,Rush23 how about we start with a true Franchise online mode Dynasty was huge Madden online league not so much,positive
8186,hate,itsucks when everyone but the one i want to text me is texting me,negative
8187,love,Lidybeth inoo thats why i sed ino how u feel coz im in love with kyle i feel like such a saddo but its true ha i wanna see him tuesday,positive
8188,surprise,MetromixOrlando ok cause the one  S orange is still open Whew you just scared me Sorry the one by you closed,positive
8189,hate,Youtube is made of fail right now Or maybe its just me that it hates,negative
8190,sadness,oasis or ribena toughest decision everrr,negative
8191,worry,A year from now is graduationi am pretty sure im not ready for it,negative
8192,happiness,Just got back from the concert Some mistakes I kinda failed my Macedonian test  But my relatives from Serbia are here WooHoo,positive
8193,enthusiasm,at school again  its boring and these people are playing country and it sucks XD,positive
8194,happiness,Whew the first night and day of summer werevery sad  But I have Jesss grad party to go to tonight,positive
8195,happiness,Just watched the quotFinal Breakquot final prison break episode It was great Farewell Prison Break You will be dearly missed,positive
8196,worry,So no yarn arriving until Monday and I dont even know whats in this shipment  I have nothing to dye    Now what,negative
8197,worry,Im gettin ready for my trip back to MA  I dont wanna leave,negative
8198,empty,Shooz1 ok ok mam  i was jus angry,neutral
8199,neutral,zHundred No Not professional at all,neutral
8200,neutral,emclev yeah I can imagine  Not nice   How much longer is your shift,neutral
8201,neutral,So Bored Firday Evening And Nothing To Do,neutral
8202,neutral,time to be nerd,neutral
8203,hate,soniei argh I dont like ebay I got outbid at the last second,negative
8204,love,ginjagin I think youre pretty Im sorry they made you feel bad,positive
8205,worry,SiCoUK he wont reply,negative
8206,surprise,just woke up to a flat tire,positive
8207,worry,YAAAWN Stayed up too late last night still gotta work amp get up super early tomorrow,negative
8208,neutral,On the phone with the bank,neutral
8209,relief,bethanyshondark Ouch Better get used to it I think 22 to 25 are prime marriage years,positive
8210,neutral,last day at Adobe  buuuut I just registered for online tech writing course,neutral
8211,hate,Not a bad back 43 Piss poor front tho 90 still unbroken,negative
8212,enthusiasm,mikeneumann  You just want to go I know the feeling  Im ready to head back to the mountains I wont go back till July,positive
8213,sadness,When i say quotwe close at 6quot it does not mean quotcome in at 6quot Ffs people Also RIP Polly,negative
8214,worry,BarryAlistair I must of brought the bad weather with me to the states,negative
8215,enthusiasm,sarahbellum Your not alone,positive
8216,neutral,taragracee,neutral
8217,hate,Goddamnit If we live in an age of constant communication why cant anyone return a text,negative
8218,surprise,Awww NOOO not my Venus        Will redemption come in doubles,positive
8219,enthusiasm,my mouth is sore  I have to wear these stupid retainers so my teeth dont go crookedin other news I got a new swimsuit for laps,positive
8220,happiness,Burnt Agenn  Nice Day Tho  xxx,positive
8221,fun,I just vacuumed my entire house three times Screw all vacuums,positive
8222,neutral,heresMonique hey u no not yet  soon maybe tomorrow,neutral
8223,happiness,caltort i have tried the Teriyaki  no cookie tho  we got non winning Poptarts with it  All was great,positive
8224,sadness,amychiu fuck was that the blinkweezer one I totally forgot,negative
8225,neutral,nebgen I am lost Please help me find a good home,neutral
8226,worry,The ball on my BB is not working  I can read any text messagesholla but dont text me,negative
8227,sadness,sonicsalamander Sorry bout the migraine  Did I mention I really liked your Cissbury sp pic last week,negative
8228,hate,Ã¯Â¿Âanisalovesu me too I am so so upsetespecially because i fear i wont get a Jared hug tomorrow,negative
8229,neutral,Of course the Evil Day Job wants me to stay longer  I need to win the lottery,neutral
8230,worry,Ok why am I still in the airport and my flightwas  147pm I havent even boarded  httpmylocme1ZPI,negative
8231,hate,Uploading a 1Mo video with microb and on 3G Network in the train is really slow,negative
8232,worry,Hellolizzay I work tomorrow,negative
8233,sadness,msdivineknight wish i could  want to stay and play with u guys and enjoy a block party for once,negative
8234,sadness,yelyahwilliams alright i REALLY wish you guys couldve done a show in tennessee  because now i cant go to one of your shows ,negative
8235,worry,I need food It took an hour to get to work this morning Leaving me no time to get my morning coffee and bagel,negative
8236,sadness,jovenatheart you never follow me I sad  LOL,negative
8237,relief,thehoodnerd    Ive been dying for those They just so expensive in little sizes,positive
8238,worry,Jonas and Demi I miss you   NIIICK in my soul ASASGDYGYASDGY ,negative
8239,sadness,Shoot Only 12 miles,negative
8240,surprise,tealshocked thats because im getting a new phone since my other phone dont work at all,positive
8241,relief,work all day,positive
8242,worry,First time in my live that i got a little pop up on the taskbar saying that one of my files was corrupt and I needed to run chkdisk,negative
8243,sadness,siiyu she could have been a lost dog  poor girl,negative
8244,sadness,MrSucre lmao i sure did no luck though,negative
8245,worry,sri_rng dont know IMEI number  is it tracked even in india,negative
8246,neutral,Id respond if I were going,neutral
8247,worry,induce1 Panchitos burfday party tonight wish you were here kiddo,negative
8248,worry,Its already been a crazy morning and its ONLY 1030,negative
8249,worry,Damn I got a math test today,negative
8250,worry,y must i hve graduation practiceall im gonna is walk,negative
8251,anger,MOtherfuck QW,negative
8252,neutral,skie Id have responded if I were going,neutral
8253,sadness,The girl across the hall says her cat got out when the landlord was showing her apt  so heartbreaking,negative
8254,worry,watching Gilmore Girls reruns Dont know what else to do for the day,negative
8255,sadness,Feeling bad for my little sister Put a lot of money into her Saab took full coverage off it last week and totalled it yesterday,negative
8256,surprise,is at the beach watching Xmen Origins and drinking orange juice with no pulp,positive
8257,worry,azroth Unfortunately I didnt do it on purpose  itunes shuffle did it It followed up with Dreadzone so no liferuin musictrauma,negative
8258,sadness,trying to spending time away from the realitybroke my heart again,negative
8259,sadness,Oh no Poor bears  i just had a nightmare i wrestled a huge snake and won,negative
8260,worry,mnemosynekurai haha yea i just feel like its being taken the wrong direction used to be a cool place now its a mess,negative
8261,worry,Epsilon Greater than Zero misses her Mommy  httpappsfacebookcomcatbookprofileview5626035,negative
8262,worry,Feeling very sad again today,negative
8263,happiness,Sopphue i foot think it will let you since its international  but we have twitter haha,positive
8264,hate,sometimes i got tired dealing with my own dilemmas,negative
8265,worry,wendyandlisa unfortunately I will miss Girl Bros Radio tonight Will be in the midst of an all night writing session,negative
8266,neutral,At the DMV,neutral
8267,hate,orbitaldiamonds That drives me nuts,negative
8268,neutral,I hate it when I forget to actually turn on the dryer,neutral
8269,worry,Work is ded  out tonite tho eeeeeee,negative
8270,hate,Shit My friends in such a state and I dont know how to help him Nothing I say seems to be helping and I wish I knew what to say,negative
8271,sadness,i want my ben and jerrys now lol TWEET PEOPLE im bored,negative
8272,hate,sierraphares oh Yeahyour mom told be about that  I thought you meant his twitter ID amp I was very confused That sucks Sick,negative
8273,surprise,jury323 ommg gurll why arent u going how sad,positive
8274,worry,lram2 What I cant believe I had to find out this waydont you ppl contact family first Im so sad  Who was it1,negative
8275,sadness,not feelin 2day,negative
8276,worry,thewhitemage It does it sometimes  it should come back  And the car thing sucks  I feel all anxious and yucky now,negative
8277,love,jroberson4 Good luck at the services tomorrow I wish I could see you guys on your vacation,positive
8278,worry,Is anyone there  Please say hello  Im feeling lonely,negative
8279,sadness,Going to an engagement party tommorrow night  it should be mine but its NOT  Stepping off the soapbox,negative
8280,sadness,SeviDesigns Itll be delivered next Friday  That is a looonnnng way away with 5 people Guess Ill do laundry next week at mils,negative
8281,worry,Is sitting in science freezing  four days ,negative
8282,worry,Watching hollyoaks  hoping Justin isnt the one to die,negative
8283,sadness,audreyallure  Im really thinking about staying till tomorrow  I have to be back in Philly 2nite but I wanna stay so bad,negative
8284,worry,maths seriously hate me,negative
8285,neutral,statisticsio No Why,neutral
8286,neutral,katiejonesy it does but that game doesnt,neutral
8287,neutral,Aw Toy Story 3 is coming out NEXT year,neutral
8288,sadness,feeling rather peckishno dinner for at least 2 hours  wah,negative
8289,worry,i cut my hand open,negative
8290,happiness,shelleymcarthur I was only  Cambie just slightly before the event then had to leave  Waiting for feedback though Ill keep u posted,positive
8291,worry,b33f4l0 KevinDoyle Ha  I dunno about standing anything up  Very very rough today  It hurts to talk,negative
8292,neutral,South of the Border And officially out of South Carolina until January,neutral
8293,worry,Im just to far from where you are I wanna go home,negative
8294,neutral,If I were an heiress I would be shopping all day  Kinda bad I know,neutral
8295,fun,Molly keeps punching me cuz she sees yellow cars Im gonna be covered in bruises I dont like this game,positive
8296,worry,has a headache from the the heat,negative
8297,sadness,On my way to lake geneva and I miss my laura,negative
8298,happiness,going out tonight FINALLY i wanty lie in the park but cinema bound it looks,positive
8299,neutral,time for work,neutral
8300,happiness,MorganMartinez My dream was about hanging out with all my friends It was good until I woke up and they werent there,positive
8301,worry,Is going to have one upset daughter  in a bitmr Rat took a sudden turn for the worse and didnt make it,negative
8302,worry,Does not feel good at all today,negative
8303,surprise,crystaaale dude thats effed up LOL  chris browning you We live so far apart and Im afraid to fly,positive
8304,sadness,CCNKAddict I know it just falls right at 1pm my time like right in the middle of the day,negative
8305,neutral,I need more twitter friends Im checking this far too often and find nothing new,neutral
8306,sadness,wimnms well i miss her i think she would really like it  retrina,negative
8307,sadness,ChrisEfs i tryed that the other day but they werent giving up what they were using,negative
8308,surprise,awaisnaseer I mailed badar76 for some help you got reply right now from him I didnt get which should probly mean I wont get it,positive
8309,worry,Off to the shelters around me to look for her  I hope she is okay so afraid that she is going to get hit by a car Cant stop crying,negative
8310,sadness,Nothing like waking up slow in the morning Docs appt today,negative
8311,worry,Where can I get nice food for Mam down the Bay that a is likely to have room for 3 tonight and b isnt the mingin burger kitchen,negative
8312,neutral,my teeshirt is faaar too small for me but i like it too much to stop wearing it,neutral
8313,love,Irish_Jean awessomee cut my hurrr i give massage orr alkie or foodtour yeaaah ampill pray for ur cousin,positive
8314,happiness,went and got a pedicure and a manicure 2daii and den sunbathed all daii BEST DAY EVA oh yehdid a teeny bit of study,positive
8315,sadness,It went really well But the vid didnt work  im sad,negative
8316,surprise,jerwjr Yes  Me too I cant understand why they have to do that I mean I know its all about Hollywood but this thing is called love,positive
8317,sadness,missed my friggin hair appt,negative
8318,sadness,Quinztar Oh no but that means that you wont be able to get pwned by my shottie this weekend,negative
8319,love,Goood Dayy  Beeen shopping didnt get what I wanted though  But my best friend has comeeee homeeee XD Ily Shannii x,positive
8320,worry,orbitaldiamonds I want all the soldiers to come home so we dont have to hear about anymore being killed,negative
8321,boredom,shaveblog Problem is Flash isnt GPU accelerated  The Atom 330 cant play Youtube HD or Hulu HD fullscreen   Big deal with Plex,negative
8322,sadness,hillsong tom night and dads birthday i wish i could see him on his bday though,negative
8323,surprise,LadyLogan awwwwww i wish her to be safe while shes gone n hugs to u must of been hard to say goodbye,positive
8324,worry,31 degree centigrade is much hotter than 30 degree centigrade,negative
8325,neutral,atlanta_arcelay httptwitpiccom4xvw2  I got chased by a male chihuahua that looked like he was pregnant today  He was black and  ,neutral
8326,enthusiasm,Cant wait to leave work,positive
8327,happiness,Just got back from the doctor I dont need surgery yayyy But my knees are still fucked  not gonna get better,positive
8328,sadness,meiko911   didnt have time this morning to go all the way across town to take a pic SO SAD,negative
8329,worry,OSCalendar MetromixOrlando Either way thats unfortunate to hear  Thanks you both for the heads up,negative
8330,worry,I dont do very good at funerals Crying is way 2 contagious for me,negative
8331,neutral,nick_carter The video is set to private,neutral
8332,worry,orbitaldiamonds I want all the soldiers to come home so we dont have to hear about anymore being killed,negative
8333,worry,am little bit upset   ppl is jerk,negative
8334,worry,Pretty sure Im sat on the wrong train going the wrong way Bah,negative
8335,sadness,marisatangorra it because your handwriting isnt on any of them and everyone is making fun of me because im sitting by myseld in the lrc,negative
8336,sadness, wickedblueglow hes in bed sick Heavy fever Went to drs Part of the reason im watching Aladdin 2 now and still havent been fed,negative
8337,neutral,I dont get it I was feeling fine yesterday and now im a ball of sickness  i hate the flu,neutral
8338,worry,edwardsheroin taps shoulder forgotten,negative
8339,worry,is stuck inside when its so nice outside,negative
8340,sadness,tojoha1 sucks that i had to delete it,negative
8341,empty,FML i just spilled my entire can of diet coke IN MY LAP yay,neutral
8342,worry,honestly why did the folks at Microsoft do MS Word 2007 to me  I cant believe I just spent 10 minutes finding auto correct options,negative
8343,happiness,just done planting the gardenhope sun will shine soon,positive
8344,worry,Is feeling sick probably a summer flu,negative
8345,worry,pursebuzz httptwitpiccom66z7a  I dont know why I always click on your doughnut pictures lol I always end up wanting one,negative
8346,hate,Ughh That Miley creature song has infested itself in my brain,negative
8347,surprise,where did the rain go,positive
8348,empty,Wanting to leave work early today but stuff keeps accumulating  this Friday is so a Monday in disguise lol,neutral
8349,neutral,justinderekrich Good morning nyc If I werent broke I would have landed there yesterday afternoon,neutral
8350,neutral,heartintherain yeah but they had to come barcelona because not all the fans can be in that concert  COME BARCELONA JESSI TE QUIERO,neutral
8351,sadness,I hate taking lily to the doc to get shots It makes me super sad,negative
8352,worry,Oh dear Sunburned back,negative
8353,worry,iamdiddy yeah I need a hugcuz I am sick,negative
8354,worry,So apparently my dad thinks its ok to stalk my twitter this has been the worst week ever i hate my life,negative
8355,surprise,Dance Flick actually NOT that good,positive
8356,worry,Still in meeting I want some coffee right now cuz I didnt sleep well,negative
8357,worry,is frustrated by twittermy picture will not load,negative
8358,worry,Mike_WSt the wheater here in Austria should be bad for the whole weekend Sorry,negative
8359,worry,I miss my cousin so much,negative
8360,worry,lomeli09 i couldnt respond cuz i maxed out,negative
8361,sadness,gealbhan_beag     I hate cat pee,negative
8362,worry,nick_carter Your video is set to private,negative
8363,neutral,MarleeMatlin How did your book signing go  If I lived there I wouldve came,neutral
8364,sadness,reverieBR That sucks I hope you find a new job soon,negative
8365,empty,nick_carter The video is private,neutral
8366,worry,Im so confused about the weather is it really gonna be sunny or is it really gonna rain,negative
8367,surprise,Chinese Lunch Buffet 450  Add a soda 125  Noticing the Health Inspection score of 81 as I walk out with my bag Priceless ,positive
8368,sadness,WOW got killed on first wave of Horde on Gears FAIL,negative
8369,worry,Creased my nikes  ohh well httptwitpiccom66zfd,negative
8370,worry,I am working like allways i hope i have a good day havent talked to my MrGoofy in over 24hours so that cant possiabally be good,negative
8371,sadness,just got back from NOM NOMs at our favourite restaurant here in Haarlem Im sad I will miss eating there the food is INCREDIBLE,negative
8372,happiness,almost done with my first day at the spaI missed this place Then headed to Fort Collins to close down casa de kent,positive
8373,surprise,BTW for the record can I just say I have waaay too many clothes  While packing found a green boa amp a 22quot velvet and black corset,positive
8374,worry,arrghh stupid eczema      i have to go soon sort it OUT ,negative
8375,worry,azina too latenow it just hurts,negative
8376,sadness,I worked at a car plant oncenobody believes me though I repect all the hard workin folks in the world,negative
8377,hate,I hate my life,negative
8378,hate,hates these khaki pants project to do todayy,negative
8379,fun,emcerlain I know its against the law I am a rebel in small things,positive
8380,hate,Dear Allergies i hate you please go awaylove always your victim,negative
8381,relief,Flamenkers I send messages to greg all the time no answer  its ok I still love o amp a goog luck with your move to Erie,positive
8382,sadness,i have runny nose i cant breathe terrible feeling,negative
8383,fun,4 more days until my birthday I dont want to get older,positive
8384,neutral,Is working allll weeekend,neutral
8385,worry,iPhone today I want to see The Morning Of in Virginia Beach but I dont think I can get there,negative
8386,worry,In A and E arts Stephanis horse fell on wet ground and she landed on her head,negative
8387,sadness,rakka oh no youre gonna have to break up wyour ups guy when you move,negative
8388,worry,technclrninjoe i think thats what he is going for but he didnt have time to scan do photo shop and stuff before work,negative
8389,neutral,payforglory i am sorry i dont like girls that way,neutral
8390,happiness,AmongstStars awee,positive
8391,sadness,Its sooooooooo not funny when I have to move from computer to computer to render and draw Come on Revit AutoCAD was never this bad,negative
8392,hate,i JUST fucking cleaned the whole kitchenand the asshole comes home amp is going to make a mess of itmy mom didnt even get to see it,negative
8393,worry,tired but have a lot to do  Looking forward to tabletop gaming tomorrow as a break from my constant programming,negative
8394,happiness,currently playing part of the list,positive
8395,love,Beautiful day on Ocracoke just hope the thunderstorms stay away this afternoonits not looking good,positive
8396,sadness,My peeps is coming from chitwn today for the weekend to hang w me and i dont have any time  always workin,negative
8397,worry,Follow Friday is such a burden for me because I want to add everyone and I always forget people,negative
8398,hate,John making me wear a mask and gloves at work cause Im sick Says he doesnt want to catch swine flu  httpyfrogcom02mxjj,negative
8399,love,Auggie5000 lmao boss ross dont come on out here  I love that man he was the truth,positive
8400,surprise,Wired mag needs to seriously chill out I just renewed barely 3 months ago yet theyve already sent me 5 renewal letters for next year,positive
8401,worry,Cruising quotSerious Eats NYquot does not bode well for a future in GA Missing NYC gastronomical tour  httpnewyorkseriouseatscom,negative
8402,love,Went to the hairdresser today she cutted my hair off  I loved my long hair Dad said he couldnt even see I got a haircut LAAAME,positive
8403,neutral,kt__d  make it go awayyyyy,neutral
8404,neutral,I waited listening to wind blowing through the tumbleweed Are none of you old enough to know what to do when someone says quotCrackerackquot,neutral
8405,hate,hut myself in the face with a hammer earlier by accident  obviously it hurts,negative
8406,sadness,Bored and lonely at work,negative
8407,sadness,The stratus is going bye bye today  i loved that car in high school fb,negative
8408,empty,Erm ovaj quotvideo twitterquot iz Tweetia ne radi NiÃ¯Â¿Âta od microcastinga,neutral
8409,worry,ran over a worm skating  poor wormie but glad to be back,negative
8410,anger,No gas PLUS no money  Desperation   and thats the word of the day  httptwitpiccom66zls,negative
8411,empty,dannyid the balance is 8000 unfortunately i havent been able to find a card that has a limit high enough to transfer the whole thing,neutral
8412,neutral,Hes getting ear tubes in about an hour so no food,neutral
8413,relief,finally some effing internet i effin need to update the wifi in SG malls Idk how  i miss dada and craigie,positive
8414,surprise,nick_carter ah nick youÃ¯Â¿Âve set the vid to private  do you not want everyone 2 see it or has it been a mistake,positive
8415,happiness,eep2001 Might have to cancel our Disney trip this year  Not too thrilled about it,positive
8416,worry,barbsrad sorry to hear that,negative
8417,relief,Thanking god for after elton for allowing me to see the new TW trailer since work blocked youtube and lj,positive
8418,worry,pallet2005 apologies dont fix hurt feelings kev  anyway ill get it from u next time I c u,negative
8419,worry,was mostly sick when she went to bed but woke up feeling mostly dead,negative
8420,sadness,LA unified summer schools drastically cut due to CA budget  cuts Very sad,negative
8421,worry,LauraKatzenberg Yo what happened to my invite,negative
8422,sadness,eoghancasey oh no    i wish i could lay out in the sun  i have no gardenLOL,negative
8423,empty,Im bored at work,neutral
8424,worry,i really want some starbucks right now  needing to find something to do tonight,negative
8425,sadness,Orion_Girl OOC sorry we keep missing each other,negative
8426,worry,SPACASSO Hey Maria Im so sorry  I think I accidentally disconnected you     Thank you SO much for trying Headed to your site soon,negative
8427,love,bondsbustyblond Weve just 16Ã¯Â¿ÂC todayampcold wind  Want it 2b like 25Ã¯Â¿Â to 30Ã¯Â¿Â I love hot weather But I reaped the 1st strawberry yday,positive
8428,enthusiasm,I dont want Warren to die Hes an awesome character  I hate Clare she should fucking die once and for all,positive
8429,neutral,Now i cant find him  Gonna be a sleepless night tonight,neutral
8430,love,SU2C What about having one in TAMPA Ive been all excited to do the hunt but Im too far from any of those cities,positive
8431,neutral,ItsMeGregory youre so far,neutral
8432,happiness,Good am all hanging out with ma dad 2day looking for a job still,positive
8433,neutral,I wanna roc witchu  Imy buu,neutral
8434,happiness,xxdePinkLadyxx I KNOW JOIN THE FREEKIN CLUB,positive
8435,sadness,GabrieleDurning  sadly we were too late for TraceyCakes but we got them elsewhere not the same but still yummy Tea w wee on wknd,negative
8436,sadness,So from this moment foward imma have to spend my money wisely No dress and shoe shopping every week No more pigging out  my fav rest,negative
8437,happiness,darklord1  Ohh what fun A night at Slimes I miss that place,positive
